map,weapon,attacker_position.x,attacker_position.y,attacker_position.z,attacker_side,victim_position.x,victim_position.y,victim_position.z,victim_side
de_mirage,Awp,-2365.0176,100.84192,-167.08505,CT,-1736.0836,715.7592,-47.96875,Terrorist
de_mirage,Awp,-2516.792,285.387,-167.96875,CT,-1898.3744,726.3603,-47.96875,Terrorist
de_mirage,Ak47,-1824.9502,562.77997,-167.00911,Terrorist,-1249.2314,497.05032,-163.18633,CT
de_mirage,Ak47,-1924.9927,512.8707,-167.96875,Terrorist,-2323.0532,176.9821,-167.96875,CT
de_mirage,M4a4,-738.44257,-2098.3455,-179.96875,CT,128.64421,-1421.6023,-175.96875,Terrorist
de_mirage,Awp,-2365.0176,100.84192,-167.08505,CT,-1736.0836,715.7592,-47.96875,Terrorist
de_mirage,Awp,-2516.792,285.387,-167.96875,CT,-1898.3744,726.3603,-47.96875,Terrorist
de_mirage,Ak47,-1824.9502,562.77997,-167.00911,Terrorist,-1249.2314,497.05032,-163.18633,CT
de_mirage,Ak47,-1924.9927,512.8707,-167.96875,Terrorist,-2323.0532,176.9821,-167.96875,CT
de_mirage,M4a4,-905.66437,110.186714,-170.64102,CT,-1733.8961,629.99506,-168.20496,Terrorist
de_mirage,Awp,-2334.1404,785.5345,-80.72172,Terrorist,-1692.5068,787.6892,-47.96875,CT
de_mirage,M4a4,-544.77563,-1041.8274,-167.96875,CT,-629.7031,-788.8017,-263.96875,Terrorist
de_mirage,M4a4,-544.77563,-1041.8274,-167.96875,CT,-629.7031,-788.8017,-263.96875,Terrorist
de_mirage,Sg553,-715.1968,-864.5492,-251.69044,Terrorist,-525.04083,-997.55536,-167.96875,CT
de_mirage,Awp,-539.4042,-1437.8043,-78.5277,CT,184.54434,-2367.7996,-39.96875,Terrorist
de_mirage,Sg553,-1061.905,-721.248,-191.96875,Terrorist,-1120.8239,-456.17282,-167.97542,CT
de_mirage,M4a4,-544.77563,-1041.8274,-167.96875,CT,-629.7031,-788.8017,-263.96875,Terrorist
de_mirage,Sg553,-715.1968,-864.5492,-251.69044,Terrorist,-525.04083,-997.55536,-167.96875,CT
de_mirage,Awp,-539.4042,-1437.8043,-78.5277,CT,184.54434,-2367.7996,-39.96875,Terrorist
de_mirage,Sg553,-1061.905,-721.248,-191.96875,Terrorist,-1120.8239,-456.17282,-167.97542,CT
de_mirage,UspS,-1595.3375,-1713.4495,-267.80984,CT,-1422.3673,-2294.8623,-231.98767,Terrorist
de_mirage,UspS,-733.3258,-2412.1296,-171.30907,CT,-91.186035,-1553.9075,-53.96875,Terrorist
de_mirage,UspS,-764.17706,-2105.3252,-179.96875,CT,-596.63434,-1961.1805,-179.96875,Terrorist
de_mirage,Glock,-115.12612,-2243.9507,-167.96875,Terrorist,-321.01285,-2218.5874,-170.18365,CT
de_mirage,Glock,-903.4365,-1371.5198,-167.96875,Terrorist,-529.03345,-1905.6135,-179.96875,CT
de_mirage,UspS,-117.00144,-2180.2722,-167.96875,CT,8.637603,-2164.0981,-167.96875,Terrorist
de_mirage,Ssg08,-1177.5105,-731.0861,-167.96875,CT,215.6083,-251.61627,-168.01186,Terrorist
